word,example_jp,example_ko,source
人手,繁忙期には人手が足りず、事務作業まで管理職が手伝うことになった。,성수기에는 일손이 부족해서 사무 작업까지 관리직이 돕게 되었다.,pd_guided:青空文庫:銀河鉄道の夜:宮沢賢治
人格,能力だけでなく人格も評価されてこそ、組織の信頼は保たれる。,능력뿐 아니라 인격도 평가되어야 조직의 신뢰가 유지된다.,pd_guided:青空文庫:こころ:夏目漱石
人質,犯人は人質を解放する条件として、報道陣との接触を求めた。,범인은 인질을 석방하는 조건으로 보도진과의 접촉을 요구했다.,pd_guided:青空文庫:走れメロス:太宰治
仏像,修復された仏像は、地域の歴史を伝える貴重な文化財である。,복원된 불상은 지역의 역사를 전하는 귀중한 문화재이다.,pd_guided:青空文庫:羅生門:芥川龍之介
仕様,新製品の仕様が急に変更され、開発チームは対応に追われた。,신제품의 사양이 갑자기 변경되어 개발팀은 대응에 쫓겼다.,pd_guided:青空文庫:こころ:夏目漱石
会談,両国首脳の会談では、経済協力と安全保障が主な議題となった。,양국 정상의 회담에서는 경제 협력과 안보가 주요 의제가 되었다.,pd_guided:青空文庫:人間失格:太宰治
伝言,彼女は不在だったため、受付に伝言を残して会社を後にした。,그녀가 부재중이어서 접수처에 전언을 남기고 회사를 나섰다.,pd_guided:青空文庫:人間失格:太宰治
伝説,その職人の技術は、今では町の伝説のように語り継がれている。,그 장인의 기술은 이제 마을의 전설처럼 전해지고 있다.,pd_guided:青空文庫:走れメロス:太宰治
伴う,制度の変更には混乱を伴うため、十分な説明が欠かせない。,제도 변경에는 혼란이 따르므로 충분한 설명이 빠질 수 없다.,pd_guided:青空文庫:こころ:夏目漱石
体力,長時間の調査を続けるには、知識だけでなく体力も必要だ。,장시간 조사를 계속하려면 지식뿐 아니라 체력도 필요하다.,pd_guided:青空文庫:こころ:夏目漱石
体裁,報告書は内容だけでなく、読みやすい体裁に整えることも重要だ。,보고서는 내용뿐 아니라 읽기 쉬운 체재로 정리하는 것도 중요하다.,pd_guided:青空文庫:こころ:夏目漱石
余地,この計画にはまだ改善の余地があり、結論を急ぐべきではない。,이 계획에는 아직 개선의 여지가 있어 결론을 서둘러서는 안 된다.,pd_guided:青空文庫:こころ:夏目漱石
余興,式典の後には学生による余興が行われ、会場は和やかな雰囲気になった。,식전 뒤에는 학생들의 여흥이 열려 회장은 온화한 분위기가 되었다.,pd_guided:青空文庫:坊っちゃん:夏目漱石
使いこなす,新しい分析ツールを使いこなすには、実務で何度も試す必要がある。,새 분석 도구를 능숙하게 다루려면 실무에서 여러 번 시험해 볼 필요가 있다.,pd_guided:青空文庫:こころ:夏目漱石
依然,対策を講じたにもかかわらず、現場の人手不足は依然深刻である。,대책을 세웠음에도 현장의 일손 부족은 여전히 심각하다.,pd_guided:青空文庫:こころ:夏目漱石
依頼,正式な依頼を受ける前に作業を始めるのは避けた方がよい。,정식 의뢰를 받기 전에 작업을 시작하는 것은 피하는 편이 좋다.,pd_guided:青空文庫:こころ:夏目漱石
侮辱,相手の意見を否定するにしても、人格を侮辱してはならない。,상대의 의견을 부정하더라도 인격을 모욕해서는 안 된다.,pd_guided:青空文庫:こころ:夏目漱石
便宜,利用者の便宜を図るため、申請手続きはオンライン化された。,이용자의 편의를 도모하기 위해 신청 절차는 온라인화되었다.,pd_guided:青空文庫:こころ:夏目漱石
保護,希少な植物を保護するため、立ち入り区域が制限された。,희귀 식물을 보호하기 위해 출입 구역이 제한되었다.,pd_guided:青空文庫:こころ:夏目漱石
信仰,信仰の自由は尊重されるべきだが、他者への強制は許されない。,신앙의 자유는 존중되어야 하지만 타인에게 강요하는 것은 허용되지 않는다.,pd_guided:青空文庫:こころ:夏目漱石
信任,新しい代表は多くの会員から信任を得て、改革案を進めた。,새 대표는 많은 회원의 신임을 얻어 개혁안을 추진했다.,pd_guided:青空文庫:坊っちゃん:夏目漱石
修了,研修を修了した後も、実務で学び続ける姿勢が求められる。,연수를 수료한 뒤에도 실무에서 계속 배우는 자세가 요구된다.,pd_guided:青空文庫:人間失格:太宰治
修学,経済的な理由で修学を断念する学生を支援する制度が必要だ。,경제적 이유로 수학을 포기하는 학생을 지원하는 제도가 필요하다.,pd_guided:青空文庫:こころ:夏目漱石
倹約,収入が減ったため、家計を見直して倹約に努めることにした。,수입이 줄어 가계를 점검하고 절약에 힘쓰기로 했다.,pd_guided:青空文庫:坊っちゃん:夏目漱石
偏屈,彼は偏屈に見えるが、実は誰よりも周囲を気にかけている。,그는 괴팍해 보이지만 사실 누구보다 주변을 신경 쓰고 있다.,pd_guided:青空文庫:こころ:夏目漱石
側面,この政策には経済的な側面だけでなく、教育上の意義もある。,이 정책에는 경제적 측면뿐 아니라 교육상의 의의도 있다.,pd_guided:青空文庫:坊っちゃん:夏目漱石
傾ける,専門家の助言に耳を傾けることで、判断の誤りを避けられる。,전문가의 조언에 귀를 기울이면 판단의 오류를 피할 수 있다.,pd_guided:青空文庫:こころ:夏目漱石
傾斜,この地域は地盤の傾斜が大きく、建設には慎重な調査が必要だ。,이 지역은 지반의 경사가 커서 건설에는 신중한 조사가 필요하다.,pd_guided:青空文庫:銀河鉄道の夜:宮沢賢治
元来,この制度は元来、弱い立場の人を守るために作られたものだ。,이 제도는 원래 약한 처지의 사람을 보호하기 위해 만들어진 것이다.,pd_guided:青空文庫:こころ:夏目漱石
充実,資料を充実させれば、発表の説得力も自然に高まる。,자료를 충실하게 하면 발표의 설득력도 자연히 높아진다.,pd_guided:青空文庫:人間失格:太宰治
公然,彼は会議の場で公然と上層部の方針を批判した。,그는 회의 자리에서 공공연히 상층부의 방침을 비판했다.,pd_guided:青空文庫:坊っちゃん:夏目漱石
公言,彼女は将来この分野で起業すると公言して、準備を進めている。,그녀는 장래 이 분야에서 창업하겠다고 공언하고 준비를 진행하고 있다.,pd_guided:青空文庫:こころ:夏目漱石
公認,その団体は自治体から公認を受け、正式に活動を始めた。,그 단체는 지자체로부터 공인을 받아 정식으로 활동을 시작했다.,pd_guided:青空文庫:こころ:夏目漱石
公開,研究データを公開することで、検証の透明性を高めることができる。,연구 데이터를 공개함으로써 검증의 투명성을 높일 수 있다.,pd_guided:青空文庫:羅生門:芥川龍之介
共感,彼の発言は多くの若者の共感を呼び、社会的な議論につながった。,그의 발언은 많은 젊은이의 공감을 불러 사회적 논의로 이어졌다.,pd_guided:青空文庫:人間失格:太宰治
共鳴,理念に共鳴した人々が集まり、新しい活動が始まった。,이념에 공명한 사람들이 모여 새로운 활동이 시작되었다.,pd_guided:青空文庫:人間失格:太宰治
内心,彼は平気な顔をしていたが、内心では強い不安を抱えていた。,그는 태연한 얼굴을 하고 있었지만 내심 강한 불안을 안고 있었다.,pd_guided:青空文庫:こころ:夏目漱石
内緒,計画が正式に決まるまでは、同僚にも内緒にしておいた。,계획이 정식으로 정해질 때까지는 동료에게도 비밀로 해 두었다.,pd_guided:青空文庫:人間失格:太宰治
内部,組織の内部で情報共有が進まなければ、改革は形だけに終わる。,조직 내부에서 정보 공유가 진행되지 않으면 개혁은 형식에 그친다.,pd_guided:青空文庫:こころ:夏目漱石
円満な,円満な解決を目指すなら、双方が譲歩する姿勢を持つべきだ。,원만한 해결을 목표로 한다면 양측이 양보하는 자세를 가져야 한다.,pd_guided:青空文庫:坊っちゃん:夏目漱石
再び,失敗の原因を分析した上で、彼らは再び同じ課題に挑戦した。,실패 원인을 분석한 뒤 그들은 다시 같은 과제에 도전했다.,pd_guided:青空文庫:走れメロス:太宰治
冒頭,講演の冒頭で、教授は研究の背景を簡潔に説明した。,강연 첫머리에서 교수는 연구의 배경을 간결하게 설명했다.,pd_guided:青空文庫:坊っちゃん:夏目漱石
冷却,過熱した議論を冷却するため、委員長は休憩を提案した。,과열된 논의를 식히기 위해 위원장은 휴식을 제안했다.,pd_guided:青空文庫:こころ:夏目漱石
