word,reading_hiragana,meaning_ko
名実,めいじつ,명실 실제와 이름
名手,めいしゅ,명수 뛰어난 사람
名簿,めいぼ,명부
名義,めいぎ,명의
呼びかける,よびかける,호소하다 말을 걸다
呼び起こす,よびおこす,불러일으키다 환기하다
和やかな,なごやかな,온화한 화기애애한
問い合わせる,といあわせる,문의하다
問題外,もんだいがい,문제 밖 논외
回顧,かいこ,회고
圧倒,あっとう,압도
圧力,あつりょく,압력
圧迫,あっぱく,압박
堅実な,けんじつな,견실한 착실한
売名,ばいめい,매명 이름을 팔려 함
夥しい,おびただしい,엄청나다 매우 많다
大らかな,おおらかな,너그러운 대범한
大ヒット,だいひっと,대히트
大事件,だいじけん,대사건
大使,たいし,대사
大幅な,おおはばな,대폭의 큰 폭의
大当たり,おおあたり,대성공 큰 당첨
大役,たいやく,큰 역할 중책
大急ぎ,おおいそぎ,매우 급함
大掃除,おおそうじ,대청소
大方,おおかた,대체로 대부분
大柄,おおがら,큰 체격 큰 무늬
大柄な,おおがらな,큰 체격의 큰 무늬의
大流行,だいりゅうこう,대유행
大筋,おおすじ,대강 줄거리
大自然,だいしぜん,대자연
大躍進,だいやくしん,대약진
大雨,おおあめ,큰비 폭우
好悪,こうお,호오 좋고 싫음
好感,こうかん,호감
好機,こうき,호기 좋은 기회
好転,こうてん,호전
妥協,だきょう,타협
妥当,だとう,타당
安っぽい,やすっぽい,싸구려 같은
安定感,あんていかん,안정감
容認,ようにん,용인
密かな,ひそかな,은밀한 조용한
密封,みっぷう,밀봉
密輸,みつゆ,밀수
対処,たいしょ,대처
巧みな,たくみな,교묘한 능숙한
差し出す,さしだす,내밀다 제출하다
差し支える,さしつかえる,지장이 있다
平たい,ひらたい,평평하다 쉬운 표현이다
引きずる,ひきずる,질질 끌다
引き上げる,ひきあげる,끌어올리다 인상하다 철수하다
引き下げる,ひきさげる,끌어내리다 인하하다
引き取る,ひきとる,인수하다 데려가다 물러나다
引き止める,ひきとめる,만류하다 붙잡다
引き継ぐ,ひきつぐ,이어받다 인계하다
引き落とす,ひきおとす,자동 이체하다 끌어내리다
引き起こす,ひきおこす,일으키다 초래하다
強制,きょうせい,강제
形勢,けいせい,형세
形態,けいたい,형태
忘却,ぼうきゃく,망각
応募,おうぼ,응모 지원
応急,おうきゅう,응급
応援団,おうえんだん,응원단
思い悩む,おもいなやむ,고민하다 괴로워하다
思い立つ,おもいたつ,마음먹다 결심하다
思い詰める,おもいつめる,골똘히 생각하다 몰아붙이다
思い込む,おもいこむ,굳게 믿다 단정하다
思い返す,おもいかえす,다시 생각하다 되돌아보다
急カーブ,きゅうかーぶ,급커브
急ブレーキ,きゅうぶれーき,급브레이크
急成長,きゅうせいちょう,급성장
急斜面,きゅうしゃめん,급경사면
急降下,きゅうこうか,급강하
情け深い,なさけぶかい,인정이 많다 자비롭다
情報誌,じょうほうし,정보지
想像上,そうぞうじょう,상상상 상상 속
意向,いこう,의향
意図,いと,의도
意地,いじ,고집 심술
意義,いぎ,의의 의미
愚かな,おろかな,어리석은
愛好,あいこう,애호
愛顧,あいこ,애고 단골로 아껴 줌
感染,かんせん,감염
慣例,かんれい,관례
成り立つ,なりたつ,성립되다 이루어지다
成長,せいちょう,성장
所有,しょゆう,소유
手がける,てがける,손수 다루다 맡다
手腕,しゅわん,수완
手近な,てぢかな,가까운 손쉬운
手際,てぎわ,솜씨 처리 능력
打ち切る,うちきる,중지하다 끝내다
打ち明ける,うちあける,털어놓다 고백하다
打ち込む,うちこむ,몰두하다 박아 넣다
承認,しょうにん,승인
抗議,こうぎ,항의
