word,reading_hiragana,meaning_ko
あっさり,あっさり,담백하게 산뜻하게
ありありと,ありありと,또렷하게 생생하게
いやいや,いやいや,마지못해 싫어하며
いやらしい,いやらしい,불쾌하다 추잡하다
うっとうしい,うっとうしい,답답하다 성가시다
うっとり,うっとり,황홀하게 넋을 잃고
うんどり,うんどり,
おっかない,おっかない,무섭다 두렵다
おろそかな,おろそかな,소홀한 등한한
かねがね,かねがね,평소부터 전부터
がっくり,がっくり,맥없이 실망하여
がっしり,がっしり,튼튼하게 단단하게
がっちり,がっちり,빈틈없이 단단히
きっかり,きっかり,정확히 딱
きっぱり,きっぱり,단호하게 딱 잘라
きらびやかな,きらびやかな,화려한 눈부신
くすぐったい,くすぐったい,간지럽다 쑥스럽다
くっきり,くっきり,뚜렷하게 선명하게
くよくよ,くよくよ,끙끙 걱정하며
げっそり,げっそり,기운이 빠져 수척하게
こうこうと,こうこうと,환하게 밝게
こころよい,こころよい,상쾌하다 기분 좋다
こっそり,こっそり,몰래 슬그머니
しとやかな,しとやかな,얌전하고 우아한
しなやかな,しなやかな,유연한 나긋한
しんなり,しんなり,축 늘어진 부드럽게
じっくり,じっくり,차분히 꼼꼼히
じめじめ,じめじめ,축축하게 음습하게
すばしこい,すばしこい,날쌔다 재빠르다
すんなり,すんなり,순조롭게 날씬하게
ずばり,ずばり,정확히 단도직입적으로
ずるずる,ずるずる,질질 끌며 미루며
せかせかと,せかせかと,조급하게 부산스럽게
そわそわ,そわそわ,안절부절못하며
たやすい,たやすい,쉽다 용이하다
だぶだぶ,だぶだぶ,헐렁헐렁 출렁출렁
ちやほや,ちやほや,떠받들며 비위를 맞춤
ちょくちょく,ちょくちょく,자주 종종
つくづく,つくづく,절실히 곰곰이
つぶらな,つぶらな,동그랗고 귀여운
てきぱきと,てきぱきと,척척 시원스럽게
てっきり,てっきり,틀림없이 그런 줄로
でかい,でかい,크다
はかない,はかない,덧없다 허무하다
はなはだしい,はなはだしい,심하다 매우 지나치다
ひしひし,ひしひし,절실히 뼈저리게
ひんやり,ひんやり,서늘하게 차갑게
びっしょり,びっしょり,흠뻑 젖은
ふらふら,ふらふら,비틀비틀 휘청휘청
ぶかぶか,ぶかぶか,헐렁헐렁
ぶらぶら,ぶらぶら,빈둥빈둥 어슬렁어슬렁
ぺこぺこ,ぺこぺこ,배가 몹시 고픈 모양
ぼつぼつ,ぼつぼつ,슬슬 조금씩
ぼろぼろ,ぼろぼろ,너덜너덜 엉망진창
まごまご,まごまご,허둥지둥 우물쭈물
まちまち,まちまち,제각각 가지각색
まるっきり,まるっきり,완전히 전혀
まるまる,まるまる,통째로 전부
みすぼらしい,みすぼらしい,초라하다 볼품없다
めいめい,めいめい,각자 제각기
めきめき,めきめき,눈에 띄게 빠르게
やまやま,やまやま,간절히 매우
ややこしい,ややこしい,복잡하다 까다롭다
やんわり,やんわり,부드럽게 완곡하게
ろくな,ろくな,변변한 제대로 된
～がたい,がたい,하기 어렵다
～人目,にんめ,번째 사람
～番目,ばんめ,번째
