word,reading_hiragana,meaning_ko
いい加減な,いいかげんな,무책임한 대충인 적당한
きまり悪い,きまりわるい,어색하다 겸연쩍다
まん丸い,まんまるい,동그랗다 완전히 둥글다
やり通す,やりとおす,끝까지 해내다
やり遂げる,やりとげる,완수하다 해내다
アクセス権,あくせすけん,접근 권한
リズム感,りずむかん,리듬감
一身上,いっしんじょう,신상 개인 사정
不慮,ふりょ,뜻밖의 사고
不興,ふきょう,불쾌함 노여움
世代,せだい,세대
世論,よろん,여론
中傷,ちゅうしょう,중상 비방
中毒,ちゅうどく,중독
主導権,しゅどうけん,주도권
久しい,ひさしい,오래되다 오래간만이다
乗り出す,のりだす,나서다 착수하다 몸을 내밀다
乗り過ごす,のりすごす,내릴 곳을 지나치다
予想外,よそうがい,예상 밖
予断,よだん,예단
予算外,よさんがい,예산 외
事業団,じぎょうだん,사업단
交替,こうたい,교대
交渉,こうしょう,교섭 협상
交通費,こうつうひ,교통비
人件費,じんけんひ,인건비
人材,じんざい,인재
人脈,じんみゃく,인맥
"仕上がる、",しあがる,완성되다 마무리되다
仕立てる,したてる,만들어 내다 재단하다 꾸미다
代わる代わる,かわるがわる,번갈아
仮免許,かりめんきょ,임시 면허
仮契約,かりけいやく,가계약
仮採用,かりさいよう,임시 채용
住み慣れる,すみなれる,살아서 익숙해지다
使いこなす,つかいこなす,능숙하게 다루다
使い分ける,つかいわける,구분해서 쓰다
依然,いぜん,여전히 이전과 같이
依頼,いらい,의뢰 부탁
保護,ほご,보호
保障,ほしょう,보장
信じ通す,しんじとおす,끝까지 믿다
修了,しゅうりょう,수료
偏在,へんざい,편재 치우쳐 존재함
偏屈,へんくつ,편굴함 괴팍함
偏愛,へんあい,편애
偏見,へんけん,편견
停滞,ていたい,정체 침체
健やかな,すこやかな,건강한
健闘,けんとう,건투
働きかける,はたらきかける,작용하다 설득하다
公立,こうりつ,공립
公言,こうげん,공언
内訳,うちわけ,내역
冷却,れいきゃく,냉각
冷気,れいき,찬 기운 냉기
冷遇,れいぐう,냉대
凄まじい,すさまじい,굉장하다 무시무시하다
几帳面な,きちょうめんな,꼼꼼한 빈틈없는
出資,しゅっし,출자 투자
分別,ふんべつ,분별 판단력
分際,ぶんざい,분수 처지
切り出す,きりだす,말을 꺼내다 잘라내다
切り抜ける,きりぬける,헤쳐 나가다 빠져나가다
初出勤,はつしゅっきん,첫 출근
初舞台,はつぶたい,첫 무대 데뷔
初雪,はつゆき,첫눈
割り込む,わりこむ,끼어들다
劣等感,れっとうかん,열등감
勉強家,べんきょうか,공부가 노력가
勘定,かんじょう,계산 셈
匿名,とくめい,익명
半端な,はんぱな,어중간한 불완전한
卑しい,いやしい,천하다 비열하다
協定,きょうてい,협정
協調性,きょうちょうせい,협조성
単価,たんか,단가
単身,たんしん,단신 혼자
却下,きゃっか,각하 기각
原則,げんそく,원칙
原点,げんてん,원점 출발점
厳かな,おごそかな,엄숙한 장엄한
収容,しゅうよう,수용
収支,しゅうし,수지 수입과 지출
取り付ける,とりつける,설치하다 달다
取り寄せる,とりよせる,주문해서 들여오다
取り戻す,とりもどす,되찾다 회복하다
取り扱う,とりあつかう,취급하다 다루다
取り次ぐ,とりつぐ,전달하다 중개하다
取り立てる,とりたてる,징수하다 특별히 다루다
取り組む,とりくむ,몰두하다 착수하다
取り除く,とりのぞく,제거하다
受け持つ,うけもつ,맡다 담당하다
受け止める,うけとめる,받아들이다 받아내다
受け流す,うけながす,받아넘기다 흘려듣다
受け継ぐ,うけつぐ,이어받다 계승하다
口ずさむ,くちずさむ,흥얼거리다
同士,どうし,동료 같은 부류
同感,どうかん,동감
