word,reading_hiragana,meaning_ko
尊い・貴い,とうとい,존귀하다 귀중하다
管理費,かんりひ,관리비
粋な,いきな,세련된 멋진
精算,せいさん,정산
精鋭,せいえい,정예
細心,さいしん,세심
細胞,さいぼう,세포
組み合わせる,くみあわせる,조합하다 맞추다
組み込む,くみこむ,짜 넣다 포함시키다
経営権,けいえいけん,경영권
経済上,けいざいじょう,경제상
経済性,けいざいせい,경제성
結晶,けっしょう,결정
結束,けっそく,결속
統制,とうせい,통제
統率,とうそつ,통솔
絶好調,ぜっこうちょう,최고조 절호조
緩やかな,ゆるやかな,완만한 느슨한
美容室,びようしつ,미용실
臆病な,おくびょうな,겁이 많은
自己,じこ,자기 자신
自己流,じこりゅう,자기 방식
良い・よし,よい・よし,좋다
荒っぽい,あらっぽい,거칠다 난폭하다
華やかな,はなやかな,화려한
華奢な,きゃしゃな,화사하고 가냘픈
落ち合う,おちあう,만나다 합류하다
落ち込む,おちこむ,풀이 죽다 빠지다
著しい,いちじるしい,현저하다 두드러지다
著作権,ちょさくけん,저작권
薬剤師,やくざいし,약사
虚ろな,うつろな,공허한 멍한
行きそびれる,いきそびれる,갈 기회를 놓치다
行動派,こうどうは,행동파
補償,ほしょう,보상
補充,ほじゅう,보충
要旨,ようし,요지
要請,ようせい,요청
要領,ようりょう,요령
見かける,みかける,눈에 띄다 보게 되다
見合わせる,みあわせる,보류하다 서로 마주 보다
見失う,みうしなう,놓치다 잃어버리다
見当たる,みあたる,발견되다 눈에 띄다
見慣れる,みなれる,눈에 익다
見渡す,みわたす,멀리 바라보다
見直す,みなおす,다시 보다 재검토하다
見習う,みならう,본받다 배우다
見落とす,みおとす,못 보고 지나치다
見送る,みおくる,배웅하다 보류하다
見逃す,みのがす,못 보고 넘기다 놓치다
見違える,みちがえる,몰라볼 정도로 달라지다
規模,きぼ,규모
規範,きはん,규범
視察,しさつ,시찰
視点,してん,시점 관점
視野,しや,시야
言い張る,いいはる,우겨 말하다 주장하다
言い渡す,いいわたす,선고하다 통고하다
言い通す,いいとおす,끝까지 주장하다
記載,きさい,기재
読み上げる,よみあげる,소리 내어 읽다 낭독하다
調理,ちょうり,조리
責任感,せきにんかん,책임감
超大作,ちょうたいさく,초대작
超満員,ちょうまんいん,초만원
超能力,ちょうのうりょく,초능력
超音波,ちょうおんぱ,초음파
超高層,ちょうこうそう,초고층
踏み切る,ふみきる,결단하다 과감히 실행하다
踏み込む,ふみこむ,발을 들이다 깊이 들어가다
身近な,みぢかな,가까운 친근한
転勤,てんきん,전근
軽工業,けいこうぎょう,경공업
軽犯罪,けいはんざい,경범죄
軽症,けいしょう,경상 가벼운 증상
軽自動車,けいじどうしゃ,경자동차
軽視,けいし,경시
辿り着く,たどりつく,간신히 도착하다
追い出す,おいだす,쫓아내다
追い返す,おいかえす,돌려보내다 쫓아 돌려보내다
逃げ出す,にげだす,도망치다
速やかな,すみやかな,신속한
週刊誌,しゅうかんし,주간지
進行,しんこう,진행
運用,うんよう,운용
過労,かろう,과로
過密,かみつ,과밀
違和感,いわかん,위화감
遥かな,はるかな,아득한 먼
適性,てきせい,적성
選手団,せんしゅだん,선수단
選挙権,せんきょけん,선거권
配当,はいとう,배당
配慮,はいりょ,배려
配線,はいせん,배선
重量級,じゅうりょうきゅう,중량급
鑑賞,かんしょう,감상
音楽家,おんがくか,음악가
顧客,こきゃく,고객
食い止める,くいとめる,저지하다 막다
食い違う,くいちがう,엇갈리다 맞지 않다
食べそびれる,たべそびれる,먹을 기회를 놓치다
飲み込む,のみこむ,삼키다 이해하다
馬鹿馬鹿しい,ばかばかしい,어리석다 터무니없다
馴れ馴れしい,なれなれしい,스스럼없다 지나치게 친한 척하다
駆け付ける,かけつける,급히 달려가다
鮮やかな,あざやかな,선명한 훌륭한
頻繁,ひんぱん,빈번함
