word,example_jp,example_ko,source
あっさり,彼は責任をあっさり認めたが、その後の対応は慎重だった。,그는 책임을 담담히 인정했지만 그 뒤의 대응은 신중했다.,generated_n1_review_batch_001
ありありと,事故当時の混乱が今でもありありと思い出される。,사고 당시의 혼란이 지금도 생생하게 떠오른다.,generated_n1_review_batch_001
いい加減な,いい加減な説明では、関係者の不信感を拭えない。,무책임한 설명으로는 관계자의 불신감을 지울 수 없다.,generated_n1_review_batch_001
いやいや,彼は上司に頼まれ、いやいや会議の司会を引き受けた。,그는 상사의 부탁으로 마지못해 회의 사회를 맡았다.,generated_n1_review_batch_001
いやらしい,人の失敗を笑うような、いやらしい態度は慎むべきだ。,남의 실패를 비웃는 듯한 불쾌한 태도는 삼가야 한다.,generated_n1_review_batch_001
うっとうしい,梅雨が続き、湿気の多い空気がうっとうしく感じられる。,장마가 계속되어 습한 공기가 답답하게 느껴진다.,generated_n1_review_batch_001
うっとり,彼女は舞台上の演奏にうっとりと聞き入っていた。,그녀는 무대 위 연주에 황홀하게 귀를 기울이고 있었다.,generated_n1_review_batch_001
おっかない,夜道で突然声をかけられ、さすがにおっかないと思った。,밤길에서 갑자기 말을 걸려서 역시 무섭다고 생각했다.,generated_n1_review_batch_001
おろそかな,基礎をおろそかにすると、応用問題で必ず行き詰まる。,기초를 소홀히 하면 응용문제에서 반드시 막힌다.,generated_n1_review_batch_001
かねがね,その方針には、かねがね疑問を抱いていた。,그 방침에는 평소부터 의문을 품고 있었다.,generated_n1_review_batch_001
がっくり,期待していた企画が却下され、彼はがっくり肩を落とした。,기대했던 기획이 기각되어 그는 맥없이 어깨를 떨어뜨렸다.,generated_n1_review_batch_001
がっしり,この橋はがっしりした造りで、長年の使用にも耐えられる。,이 다리는 튼튼한 구조라 오랜 사용에도 견딜 수 있다.,generated_n1_review_batch_001
がっちり,契約内容をがっちり確認してから署名すべきだ。,계약 내용을 빈틈없이 확인한 뒤 서명해야 한다.,generated_n1_review_batch_001
きっかり,面接は午後三時きっかりに始まった。,면접은 오후 세 시 정각에 시작되었다.,generated_n1_review_batch_001
きっぱり,彼女は不当な要求をきっぱり断った。,그녀는 부당한 요구를 단호히 거절했다.,generated_n1_review_batch_001
きまり悪い,皆の前で名前を間違えられ、きまり悪い思いをした。,모두 앞에서 이름을 잘못 불려 겸연쩍은 기분이 들었다.,generated_n1_review_batch_001
きらびやかな,きらびやかな広告とは裏腹に、商品の実態は平凡だった。,화려한 광고와는 달리 상품의 실상은 평범했다.,generated_n1_review_batch_001
くすぐったい,面と向かって褒められると、少しくすぐったい気持ちになる。,정면으로 칭찬받으면 조금 쑥스러운 기분이 든다.,generated_n1_review_batch_001
くっきり,山の稜線が夕焼けの空にくっきり浮かび上がった。,산 능선이 노을진 하늘에 선명하게 떠올랐다.,generated_n1_review_batch_001
くよくよ,済んだ失敗をくよくよ考えても、次の一歩は踏み出せない。,지난 실패를 끙끙 생각해도 다음 걸음을 내딛을 수 없다.,generated_n1_review_batch_001
げっそり,連日の残業で、彼はげっそりした顔をしていた。,연일 야근으로 그는 기운이 빠져 수척한 얼굴을 하고 있었다.,generated_n1_review_batch_001
こうこうと,深夜の駅前だけが、街灯にこうこうと照らされていた。,심야의 역 앞만이 가로등에 환하게 비춰지고 있었다.,generated_n1_review_batch_001
こころよい,山頂を渡る風がこころよく、疲れを忘れさせてくれた。,산 정상에 부는 바람이 상쾌해 피로를 잊게 해 주었다.,generated_n1_review_batch_001
こっそり,彼は会議の資料をこっそり持ち帰って確認した。,그는 회의 자료를 몰래 가져가 확인했다.,generated_n1_review_batch_001
しとやかな,彼女のしとやかな振る舞いは、会場の雰囲気を和らげた。,그녀의 얌전하고 우아한 행동은 행사장 분위기를 누그러뜨렸다.,generated_n1_review_batch_001
しなやかな,変化にしなやかに対応できる組織こそ生き残る。,변화에 유연하게 대응할 수 있는 조직이야말로 살아남는다.,generated_n1_review_batch_001
しんなり,野菜は軽く火を通すと、しんなりして食べやすくなる。,채소는 살짝 익히면 부드러워져 먹기 쉬워진다.,generated_n1_review_batch_001
じっくり,結論を急がず、資料をじっくり読み込む必要がある。,결론을 서두르지 말고 자료를 차분히 읽어야 한다.,generated_n1_review_batch_001
じめじめ,じめじめした部屋では、書類まで傷みやすくなる。,축축한 방에서는 서류까지 상하기 쉬워진다.,generated_n1_review_batch_001
すばしこい,彼はすばしこく人混みを抜け、先に改札へ向かった。,그는 재빠르게 인파를 빠져나가 먼저 개찰구로 향했다.,generated_n1_review_batch_001
すんなり,交渉は意外にもすんなりまとまり、全員が胸をなで下ろした。,협상은 의외로 순조롭게 정리되어 모두가 안도했다.,generated_n1_review_batch_001
ずばり,彼は問題の核心をずばり指摘した。,그는 문제의 핵심을 정확히 지적했다.,generated_n1_review_batch_001
ずるずる,判断を先延ばしにしているうちに、問題はずるずる長引いた。,판단을 미루는 사이 문제가 질질 길어졌다.,generated_n1_review_batch_001
せかせかと,彼は時間に追われ、せかせかと書類を片付けていた。,그는 시간에 쫓겨 부산스럽게 서류를 정리하고 있었다.,generated_n1_review_batch_001
そわそわ,発表の順番が近づくにつれ、彼はそわそわし始めた。,발표 순서가 다가오자 그는 안절부절못하기 시작했다.,generated_n1_review_batch_001
たやすい,制度を変えることは、口で言うほどたやすくない。,제도를 바꾸는 일은 말처럼 쉽지 않다.,generated_n1_review_batch_001
