word,example_jp,example_ko,source
分別,感情的にならず、分別を持って対応することが求められる。,감정적으로 굴지 않고 분별 있게 대응하는 것이 요구된다.,pd_guided:青空文庫:こころ:夏目漱石
分配,限られた予算をどのように分配するかで、政策の優先順位が見えてくる。,한정된 예산을 어떻게 분배하느냐에서 정책의 우선순위가 드러난다.,pd_guided:青空文庫:こころ:夏目漱石
切ない,彼女の手紙には、言葉にしきれない切ない思いが込められていた。,그녀의 편지에는 말로 다 표현할 수 없는 애달픈 마음이 담겨 있었다.,pd_guided:青空文庫:こころ:夏目漱石
切り出す,重い話題を切り出すタイミングを見つけられず、会議は終わってしまった。,무거운 화제를 꺼낼 타이밍을 찾지 못한 채 회의는 끝나 버렸다.,pd_guided:青空文庫:こころ:夏目漱石
初版,その辞典の初版には、現在では使われない表現も多く残っている。,그 사전의 초판에는 현재는 쓰이지 않는 표현도 많이 남아 있다.,pd_guided:青空文庫:羅生門:芥川龍之介
利子,借入金の利子が負担となり、事業の継続が難しくなった。,차입금의 이자가 부담이 되어 사업 지속이 어려워졌다.,pd_guided:青空文庫:こころ:夏目漱石
利益,短期的な利益だけを追えば、長期的な信頼を失う恐れがある。,단기적 이익만 좇으면 장기적 신뢰를 잃을 우려가 있다.,pd_guided:青空文庫:こころ:夏目漱石
到達,目標に到達するまでには、想定以上の時間と労力が必要だった。,목표에 도달하기까지는 예상 이상의 시간과 노력이 필요했다.,pd_guided:青空文庫:走れメロス:太宰治
制裁,規則に違反した企業には、厳しい制裁が科されることになった。,규칙을 위반한 기업에는 엄한 제재가 부과되게 되었다.,pd_guided:青空文庫:坊っちゃん:夏目漱石
前例,前例がないからといって、新しい試みを避ける理由にはならない。,전례가 없다고 해서 새로운 시도를 피할 이유는 되지 않는다.,pd_guided:青空文庫:こころ:夏目漱石
割り込む,彼は列に割り込む人を見て、係員に静かに注意を促した。,그는 줄에 끼어드는 사람을 보고 직원에게 조용히 주의를 요청했다.,pd_guided:青空文庫:坊っちゃん:夏目漱石
創造,教育の目的は知識の暗記だけでなく、創造する力を育てることにもある。,교육의 목적은 지식 암기뿐 아니라 창조하는 힘을 기르는 데도 있다.,pd_guided:青空文庫:こころ:夏目漱石
助手,教授の助手として働きながら、彼は研究の基礎を身につけた。,교수의 조수로 일하면서 그는 연구의 기초를 익혔다.,pd_guided:青空文庫:銀河鉄道の夜:宮沢賢治
労力,資料を整理するにはかなりの労力を要したが、その成果は大きかった。,자료를 정리하는 데 상당한 노력이 들었지만 그 성과는 컸다.,pd_guided:青空文庫:こころ:夏目漱石
勉強家,彼は勉強家で、専門外の分野についても熱心に知識を吸収している。,그는 공부가라서 전문 외 분야에 대해서도 열심히 지식을 흡수하고 있다.,pd_guided:青空文庫:こころ:夏目漱石
勘定,人数が増えたため、会費の勘定をもう一度やり直した。,인원이 늘어서 회비 계산을 다시 했다.,pd_guided:青空文庫:こころ:夏目漱石
勝利,勝利に酔うだけでなく、なぜ成功したのかを分析する必要がある。,승리에 취하기만 할 것이 아니라 왜 성공했는지 분석할 필요가 있다.,pd_guided:青空文庫:こころ:夏目漱石
勢力,新しい勢力が台頭し、従来の政治地図は大きく変わり始めた。,새로운 세력이 대두하면서 기존 정치 지형은 크게 변하기 시작했다.,pd_guided:青空文庫:こころ:夏目漱石
勧誘,強引な勧誘を受けた場合は、その場で契約せずに相談した方がよい。,강압적인 권유를 받은 경우에는 그 자리에서 계약하지 말고 상담하는 편이 좋다.,pd_guided:青空文庫:こころ:夏目漱石
化石,この地域で見つかった化石は、古代の環境を知る手がかりになる。,이 지역에서 발견된 화석은 고대의 환경을 아는 단서가 된다.,pd_guided:青空文庫:こころ:夏目漱石
匿名,匿名で寄せられた意見であっても、内容が具体的なら検討に値する。,익명으로 온 의견이라도 내용이 구체적이라면 검토할 가치가 있다.,pd_guided:青空文庫:人間失格:太宰治
卑しい,立場の弱い人を利用するような卑しい行為は、到底許されない。,약한 처지의 사람을 이용하는 비열한 행위는 도저히 용납될 수 없다.,pd_guided:青空文庫:こころ:夏目漱石
単独,その調査は単独では難しく、複数の機関が協力して進めた。,그 조사는 단독으로는 어려워 여러 기관이 협력해 진행했다.,pd_guided:青空文庫:こころ:夏目漱石
単調な,単調な作業が続くと、集中力を保つ工夫が必要になる。,단조로운 작업이 계속되면 집중력을 유지하는 요령이 필요해진다.,pd_guided:青空文庫:こころ:夏目漱石
占領,軍による占領が長引き、市民生活には深刻な影響が出た。,군에 의한 점령이 길어지면서 시민 생활에는 심각한 영향이 나타났다.,pd_guided:青空文庫:こころ:夏目漱石
危機,人口減少は地方経済にとって、避けて通れない危機となっている。,인구 감소는 지방 경제에 피할 수 없는 위기가 되고 있다.,pd_guided:青空文庫:人間失格:太宰治
厳しい,厳しい批判を受けたからこそ、計画の弱点が明らかになった。,엄한 비판을 받았기 때문에 계획의 약점이 드러났다.,pd_guided:青空文庫:こころ:夏目漱石
去る,責任者が突然職場を去ることになり、引き継ぎが課題となった。,책임자가 갑자기 직장을 떠나게 되어 인수인계가 과제가 되었다.,pd_guided:青空文庫:こころ:夏目漱石
反射,強い光が水面に反射して、周囲が一瞬まぶしくなった。,강한 빛이 수면에 반사되어 주변이 한순간 눈부셔졌다.,pd_guided:青空文庫:こころ:夏目漱石
反感,一方的な説明は住民の反感を招き、計画は見直しを迫られた。,일방적인 설명은 주민의 반감을 불러 계획은 재검토를 요구받았다.,pd_guided:青空文庫:羅生門:芥川龍之介
反響,番組で紹介された商品は大きな反響を呼び、注文が殺到した。,방송에서 소개된 상품은 큰 반향을 일으켜 주문이 쇄도했다.,pd_guided:青空文庫:こころ:夏目漱石
収容,避難所には多くの住民を収容できるだけの設備が必要だ。,대피소에는 많은 주민을 수용할 수 있을 만큼의 설비가 필요하다.,pd_guided:青空文庫:人間失格:太宰治
取り扱う,個人情報を取り扱う部署では、管理体制を厳格にしなければならない。,개인정보를 취급하는 부서에서는 관리 체계를 엄격히 해야 한다.,pd_guided:青空文庫:こころ:夏目漱石
古代,古代の人々が残した道具から、当時の生活を推測できる。,고대 사람들이 남긴 도구에서 당시 생활을 추측할 수 있다.,pd_guided:青空文庫:人間失格:太宰治
合併,二つの自治体が合併したことで、行政サービスの見直しが進んだ。,두 지자체가 합병하면서 행정 서비스 재검토가 진행되었다.,pd_guided:青空文庫:坊っちゃん:夏目漱石
合唱,卒業式では、全員で校歌を合唱して別れを惜しんだ。,졸업식에서는 모두가 교가를 합창하며 이별을 아쉬워했다.,pd_guided:青空文庫:銀河鉄道の夜:宮沢賢治
合間,仕事の合間に短い休憩を取るだけでも、集中力はかなり回復する。,일하는 틈에 짧은 휴식을 취하는 것만으로도 집중력은 꽤 회복된다.,pd_guided:青空文庫:坊っちゃん:夏目漱石
同志,同じ目標を持つ同志が集まり、地域の課題に取り組み始めた。,같은 목표를 가진 동지가 모여 지역 과제에 착수하기 시작했다.,pd_guided:青空文庫:こころ:夏目漱石
同情,彼に同情する声は多かったが、責任を問う意見も少なくなかった。,그에게 동정하는 목소리는 많았지만 책임을 묻는 의견도 적지 않았다.,pd_guided:青空文庫:こころ:夏目漱石
同感,その提案には私も同感だが、実施時期については再検討が必要だ。,그 제안에는 나도 동감하지만 실시 시기에 대해서는 재검토가 필요하다.,pd_guided:青空文庫:こころ:夏目漱石
同級,同級の友人と再会し、学生時代の記憶が一気によみがえった。,동급 친구와 재회하여 학창 시절의 기억이 단번에 되살아났다.,pd_guided:青空文庫:こころ:夏目漱石
名称,制度の名称だけを変えても、実態が変わらなければ意味がない。,제도의 명칭만 바꾸어도 실태가 바뀌지 않으면 의미가 없다.,pd_guided:青空文庫:こころ:夏目漱石
名簿,参加者の名簿を確認したところ、数名の記載漏れが見つかった。,참가자 명부를 확인했더니 몇 명의 기재 누락이 발견되었다.,pd_guided:青空文庫:こころ:夏目漱石
名誉,彼は個人の名誉よりも、研究全体の信頼性を守ることを選んだ。,그는 개인의 명예보다 연구 전체의 신뢰성을 지키는 것을 선택했다.,pd_guided:青空文庫:走れメロス:太宰治
名高い,その寺は紅葉の名所として名高いが、平日は意外に静かだ。,그 절은 단풍 명소로 유명하지만 평일에는 의외로 조용하다.,pd_guided:青空文庫:銀河鉄道の夜:宮沢賢治
